Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32
34,25,72.8559303980308,74.8302427376772,40.367169726909,30.5961180813793,30.0764305191482,30.0527396721181,30.0491890771315,30.0469471753838,30.0454500512152,30.0441997802629,30.0422632369505,30.0389835609918,30.034590630745,30.0297110494623,30.024649814755,30.0194665206569,30.0141601148246,30.0087111103049,30.003100909432,29.9972992127892,29.9912823677882,29.9850188317649,29.9784730459173,29.9716027913742,29.9643620349798,29.9567067226308,29.9485452046684,29.9398281294712,29.9309367552277,29.9132173752183,29.9132173752183
35,25,72.4794897863455,76.2694515552733,42.0898431341922,30.7103189939562,30.0822379780996,30.0538862416147,30.0501818388217,30.0479504128705,30.0464852651472,30.0452895687917,30.0434408978497,30.0402775957396,30.0360060294158,30.0312553072334,30.0263408496872,30.0213259113443,30.0162128850267,30.0109858529814,30.0056305146907,30.0001213366639,29.9944403093623,29.9885622240453,29.9824589314456,29.9760973298623,29.9694391269974,29.9624515004804,29.9550606919249,29.9472242575542,29.9393462599843,29.9230176903497,29.9230176903497
36,25,72.091909847765,77.5000101001085,44.0099294862669,30.8471728005919,30.0889501345248,30.0549419213705,30.0510108960648,30.048781575688,30.0473395347121,30.0461862771836,30.0444090606994,30.0413423834976,30.0371693757351,30.032520801178,30.0277222590175,30.0228408146435,30.0178809838331,30.0128298614358,30.0076765640578,30.0023994294221,29.9969847734668,29.9914125774865,29.9856604999439,29.9797021788629,29.973507116404,29.96704984317,29.9602712224246,29.9531340537144,29.9460602075882,29.9308524066712,29.9308524066712
37,25,71.6961844130471,78.5429879644135,46.0994306616927,31.0101069742026,30.0968171789672,30.0558771837186,30.0517075298903,30.0494698399638,30.048043906362,30.0469236067892,30.0452049211577,30.0422194937736,30.0381270093318,30.0335595792481,30.028852783353,30.0240771568932,30.0192388392995,30.0143270980047,30.0093340933134,30.004241120055,29.9990379541687,29.9937086301492,29.9882355014011,29.9825974943512,29.9767704573932,29.9707346096696,29.964442642897,29.9578608702484,29.9514253317376,29.9371238263171,29.9371238263171
38,25,71.2945646183739,79.4201664411604,48.3303371749566,31.2026781491308,30.1061133824114,30.0567761640925,30.052282828659,30.0500370363252,30.0486216624149,30.0475268806898,30.045856467287,30.042939684723,30.0389138661699,30.0344109923252,30.0297767474544,30.0250848303721,30.0203426474275,30.0155414352442,30.0106754201921,30.0057284149668,30.000692848683,29.9955560870782,29.9903041394714,29.9849201407147,29.9793850031471,29.9736833910966,29.9677775153461,29.9616359857873,29.9557059950917,29.942138501679,29.942138501679
39,25,70.8888386336539,80.1548277498698,50.6734001037629,31.4286855674089,30.1171409319267,30.0576574168969,30.0527616914368,30.0505023851162,30.0490935226009,30.048018584084,30.0463885038097,30.0435308669898,30.0395607827012,30.0351095849919,30.030532945628,30.0259075446479,30.0212417637945,30.0165284166222,30.0117633490473,30.006932392,30.0020300682496,29.9970463993799,29.9919703049167,29.9867882659167,29.9814852273012,29.9760493468119,29.9704506021221,29.9646586905969,29.959129855169,29.9461603963073,29.9461603963073
40,25,70.4802101655686,80.7678910703328,53.1010127233453,31.6932067532903,30.130253516746,30.0585408882739,30.0531597340968,30.050881687764,30.0494761692319,30.0484167295164,30.0468208167364,30.0440150462039,30.0400921329308,30.0356825756447,30.031151860706,30.0265795111671,30.0219746643838,30.0173313826527,30.0126467795832,30.0079083227523,30.0031121665022,29.9982504710714,29.99331446389,29.9882932924824,29.9831751126644,29.9779508266073,29.9725968752784,29.9670828033765,29.9618725592892,29.949393124784,29.949393124784
41,25,70.0693752436729,81.2777855538757,55.5861487864173,32.0036503725192,30.1458611381505,30.0594680737332,30.0534898858,30.0511877886282,30.0497829360203,30.0487356253075,30.047168991716,30.0444088343193,30.0405268964331,30.0361511038255,30.0316570513487,30.0271270705461,30.0225708658388,30.0179834968972,30.0133630386218,30.0086983113595,30.003986697503,29.999222107687,29.9943975879732,29.9895044046869,29.9845332961341,29.979477215281,29.9743177209537,29.969024326542,29.9640665068872,29.951990119227,29.951990119227
42,25,69.6566550252238,81.7037799241166,58.0971337460766,32.3714443474499,30.1644704237319,30.060465783339,30.0537650253041,30.0514326007602,30.0500266734632,30.0489889165819,30.0474477466499,30.0447285964275,30.0408826081692,30.0365344768554,30.0320698496866,30.0275738914909,30.0230567022642,30.01851414013,30.0139450227151,30.0093392611189,30.0046952341902,30.0000081995313,29.9952726615991,29.9904815794238,29.9856277154209,29.9807057133999,29.9757012075482,29.9705831897662,29.9658256373396,29.954083345872,29.954083345872
43,25,69.2419426279308,82.064448427811,60.599282555615,32.81194762862,30.1867159594439,30.0615715646391,30.0539975399092,30.0516272985786,30.0502186157553,30.0491883721313,30.0476696024124,30.0449879128392,30.0411738190442,30.0368485510864,30.0324076257107,30.0279390800417,30.0234532847742,30.0189467285638,30.0144188124035,30.0098603143747,30.0052703971405,30.0006453926105,29.9959809663769,29.9912714214244,29.9865111263908,29.9816960560872,29.9768151595499,29.9718365210804,29.9672377552862,29.9557744315015,29.9557744315015
