Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
71,0,9.19473608362864e-10,0,7.80866371563604e-10,3.83612978049896e-08,4.06273488529063e-06,0.000373202133438721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14635148437981e-09,0,0,0,0
72,0,3.86711662692107e-10,0,2.66386246394745e-10,4.98552955585652e-08,5.17517439280191e-06,0.000518915660445818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,2.00191396793059e-09,0,6.83489137509596e-08,6.96083436957373e-06,0.00073701104945012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,1.03171616805398e-08,0,9.43571218936512e-08,9.53517095703127e-06,0.00104079658994993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,2.76364225948456e-08,0,6.28318177486875e-08,5.60086002909799e-06,0.000447887173277817,0.000133967519343359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,5.55175350136494e-10,0,6.68041955087517e-10,0,0,0,2.399200335923e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,1.98307148480126e-10,0,2.20541362949689e-10,0,0,0,3.40477258418126e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,9.84317072294516e-11,0,7.56468221396744e-11,8.77624628525808e-09,1.04393104372047e-06,4.87102425429375e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,1.96615945746714e-10,0,1.80332859756049e-10,2.03267559450993e-08,2.31496543667831e-06,6.88170212022055e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,2.2467838700635e-10,0,2.07771355675845e-10,2.34565764589689e-08,2.69927725027319e-06,9.59353081496639e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,2.39468667118103e-10,0,2.32973418334836e-10,2.4335528037156e-08,2.78376034645866e-06,0.000132686493855672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,2.7369473354355e-10,0,2.69986255574395e-10,2.55024242834523e-08,2.92053764394673e-06,0.000182266280900012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,3.37931460592245e-10,0,3.35435235143677e-10,2.81796531664824e-08,3.229434895613e-06,0.000249407763382226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,4.55309012714622e-10,0,4.57222593119866e-10,3.32837610805825e-08,3.81084932588038e-06,0.000341959415038007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,6.68992083951991e-10,0,6.73644473536683e-10,4.18586065809023e-08,4.77907872709071e-06,0.000473237768463419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,1.04507147380417e-09,0,1.05156727769895e-09,5.57964914271736e-08,6.33776018610366e-06,0.000667879843440966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,1.67581948318229e-09,0,1.67720082266953e-09,7.74115990198609e-08,8.71425785931024e-06,0.000953189459283466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.80334374894665e-09,0,0,0,0
88,0,0,2.35417929594917e-09,0,2.28236218813294e-09,9.66656674705746e-08,1.06657015882528e-05,0.00118298482519719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,2.14277484644754e-11,0,0,0,0,2.40904743162851e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,1.31058497387926e-11,1.48858703141741e-12,2.47379894346977e-12,0,0,0,3.08014960759273e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,1.39932510023755e-11,0,7.61624097123104e-12,3.28270743921166e-11,3.64620811321714e-09,5.01963176136044e-07,4.42469827586223e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,1.54876111935209e-12,3.97792909723194e-12,3.56381590904675e-13,0,1.7864176804494e-10,1.79252607201974e-08,2.09797878314433e-06,6.26901039014749e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,1.1505352226493e-11,0,2.13846718111199e-11,0,2.28187135853375e-10,2.21336183825471e-08,2.57150232230163e-06,8.78322555493138e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
