Time (s),N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N40,N41,N42
56,0.85,0.863994343937803,0.869321444594211,0.874525296099041,0.899031305848346,0.986892079224216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999987675,1,1,1,1
57,0.85,0.863781171722045,0.869479281880964,0.874041188223188,0.895253532252668,0.982868154614234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,0.85,0.863518897482579,0.869696599954799,0.87365353535486,0.891969203774519,0.977874043233853,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0.85,0.863225270769085,0.869921308862179,0.87335594393635,0.889139213368202,0.97177396370074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0.85,0.862913941809601,0.870124065207438,0.873134364693859,0.886716848068621,0.964449407890016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99999999464144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,0.85,0.862591151253928,0.870298910423477,0.872972807151182,0.88465131563536,0.955870401580651,1,1,1,1,1,1,1,1,1,1,1,1,0.999999996056251,1,1,0.99999997979959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,0.85,0.862260947445296,0.870445846347875,0.872857491475829,0.882909501518089,0.947821243697781,0.99854049143515,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999986637,1,0.999999999985016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,0.85,0.861926045543361,0.870566180981587,0.872776416361208,0.881422681451873,0.938087517385254,0.99821559334367,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999973234,1,0.999999999994612,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,0.85,0.861589377465365,0.870661774603268,0.872720968325392,0.880173188959434,0.929539303216806,0.99745782900958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999973459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,0.85,0.861252852518677,0.870733745095754,0.872682925912602,0.879125805265454,0.922202262384928,0.996384234123845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999910335,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
